plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_5', 'GPT_5', 'GPT_5_MINI')",0.5381252159044374,0.5,0.6
"('GPT_5', 'GPT_5', 'GPT_5_NANO')",0.5889017328371098,0.8,0.7
"('GPT_5', 'GPT_5_MINI', 'o4_MINI')",0.5599447765559018,0.8,0.7
"('GPT_5', 'GPT_5_NANO', 'GPT_4_1_MINI')",0.5356523568229855,0.75,0.6
"('GPT_5', 'GPT_5_NANO', 'GPT_4_1_NANO')",0.535212077150111,0.5,0.7
"('GPT_5', 'GPT_5_NANO', 'GPT_5_MINI')",0.5729428116391702,0.8,0.8
"('GPT_5', 'GPT_5_NANO', 'o4_MINI')",0.5360713408088568,0.75,0.6
"('GPT_5', 'o4_MINI', 'GPT_4_1')",0.5325655563551626,0.5,0.6
"('GPT_5', 'o4_MINI', 'GPT_5_MINI')",0.567574564245419,0.6,0.8
"('GPT_5', 'o4_MINI', 'GPT_5_NANO')",0.5803882928647814,0.8,0.8
"('GPT_5', 'o4_MINI', 'o4_MINI')",0.5387945853144429,0.5,0.6
"('GPT_5_MINI', 'GPT_4_1', 'GPT_4_1')",0.5967871526018774,0.8,0.7
"('GPT_5_MINI', 'GPT_4_1', 'GPT_4o')",0.407923376022233,0.6,0.7
