plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_5', 'GPT_4o', 'GPT_5')",0.5384735521085535,0.75,0.6
"('GPT_4o_MINI', 'GPT_5_MINI', 'GPT_4o')",0.6567906697831587,1.0,0.8
"('GPT_4o_MINI', 'GPT_5_NANO', 'GPT_4o')",0.7043103448275863,1.0,0.7
"('GPT_5_MINI', 'GPT_5_NANO', 'GPT_4o')",0.5268645305102658,0.8,0.8
"('o4_MINI', 'GPT_4_1', 'GPT_4o_MINI')",0.5831502334523482,1.0,0.7
"('GPT_5', 'GPT_5_NANO', 'GPT_4_1_MINI')",0.5356523568229855,0.75,0.6
"('o4_MINI', 'GPT_5', 'GPT_5_NANO')",0.6703351808449522,0.6666666666666666,0.6
"('o4_MINI', 'GPT_4_1', 'GPT_5')",0.6502079069616347,1.0,0.6
"('GPT_5_NANO', 'GPT_4_1', 'GPT_5_MINI')",0.6664966065543994,1.0,0.8
"('GPT_5_MINI', 'GPT_4_1_NANO', 'GPT_4_1')",0.5027885800857381,0.8,0.8
"('GPT_4o_MINI', 'GPT_4o_MINI', 'GPT_4o_MINI')",0.6377141006961308,0.5,0.6
"('GPT_4o', 'GPT_5', 'GPT_4o_MINI')",0.6225609756097561,1.0,0.6
"('GPT_4_1_MINI', 'GPT_4_1', 'GPT_4_1')",0.4596703890501958,0.6666666666666666,0.6
"('GPT_5', 'GPT_4_1', 'GPT_4_1')",0.5989584733023334,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_5_NANO')",0.6434108527131783,1.0,0.7
"('GPT_5_NANO', 'GPT_4_1_MINI', 'o4_MINI')",0.6915129768525833,1.0,0.8
"('GPT_5_MINI', 'GPT_4_1', 'GPT_4_1')",0.5967871526018774,0.8,0.7
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'GPT_4_1_MINI')",0.3705633868844774,0.2,0.6
"('GPT_4_1_MINI', 'GPT_4o', 'GPT_4_1')",0.4547629785730476,0.3333333333333333,0.7
